"Kerncijfers wijken en buurten 2018"
""
"";"Topic"
"";"Regioaanduiding|Soort regio";"Regioaanduiding|Indelingswijziging wijken en buurten";"Bevolking|Aantal inwoners";"Bevolking|Geslacht|Mannen";"Bevolking|Geslacht|Vrouwen";"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"Bevolking|Bevolkingsdichtheid";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"Postcode|Meest voorkomende postcode";"Postcode|Dekkingspercentage"
"Baanakkerspark Noord";"Buurt";"1";"580";"290";"290";"50";"60";"170";"135";"170";"5125";"500";".";".";"34,6";"17,0";"60,3";"42,2";"6,3";"4,9";"5,2";"1024";"1"
"Baanakkerspark Zuid";"Buurt";"1";"455";"225";"230";"45";"35";"110";"110";"160";"3186";"400";".";".";"30,6";"25,2";"58,5";"35,5";"16,2";"7,3";"7,7";"1024";"1"
"Werengouw Midden";"Buurt";"1";"5005";"2435";"2565";"930";"580";"1655";"1170";"675";"13814";"3800";"25,7";"19,9";"47,0";"11,4";"58,0";"57,8";"6,4";"15,4";"14,6";"1024";"1"
"Markengouw Midden";"Buurt";"1";"3430";"1695";"1735";"850";"575";"1100";"710";"205";"8475";"2400";".";"17,7";"49,3";"12,4";"56,3";"48,2";"13,6";"16,2";"12,8";"1024";"1"
"Markengouw Zuid";"Buurt";"1";"2055";"1015";"1040";"585";"300";"600";"425";"150";"9576";"1400";".";".";"51,1";"9,9";"53,9";"54,0";"9,0";"22,0";"19,0";"1024";"1"
"Werengouw Zuid";"Buurt";"1";"1635";"770";"865";"385";"225";"400";"420";"210";"8842";"1200";".";".";"49,7";"17,0";"51,9";"45,4";"19,4";"15,5";"14,0";"1024";"1"
"Buikslotermeer";"Wijk";"1";"11170";"5360";"5810";"1685";"1590";"3040";"2420";"2435";"7397";"8600";"25,5";"20,5";"48,9";"12,1";"52,0";"59,7";"7,4";"14,5";"13,5";".";"."
"Rode Kruisbuurt";"Buurt";"1";"220";"105";"115";"25";"35";"30";"70";"75";"1465";"200";".";".";"29,9";"26,4";"53,7";".";".";".";".";"1025";"1"
"Loenermark";"Buurt";"1";"1515";"750";"760";"165";"150";"440";"340";"430";"9509";"1200";".";".";"39,2";"14,7";"59,8";"59,9";"6,6";"9,4";"11,2";"1025";"1"
"Buikslotermeerplein";"Buurt";"1";"995";"470";"520";"70";"70";"290";"195";"370";"4405";"800";".";".";"44,0";"15,9";"63,2";"64,2";"7,3";"11,5";"13,0";"1025";"1"
"Plan van Gool";"Buurt";"1";"3125";"1515";"1610";"570";"470";"980";"700";"405";"11160";"2400";".";"19,1";"50,9";"11,0";"53,4";"56,6";"7,8";"18,7";"15,8";"1025";"1"
"De Kleine Wereld";"Buurt";"1";"2815";"1345";"1470";"630";"375";"670";"660";"495";"12469";"2000";".";"15,5";"57,5";"6,3";"42,5";"61,3";"4,3";"20,6";"17,8";"1025";"1"
"Buikslotermeer Noord";"Buurt";"1";"2485";"1160";"1325";"230";"500";"635";"465";"665";"5336";"2000";".";".";"47,0";"15,1";"52,0";"62,0";"8,3";"9,3";"9,3";"1025";"1"
"Banne Buiksloot";"Wijk";"1";"14300";"7000";"7300";"2745";"1815";"3955";"3495";"2300";"8635";"10700";"26,2";"20,1";"48,2";"13,1";"54,0";"54,7";"11,6";"15,4";"14,4";".";"."
"Banne Zuidwest";"Buurt";"1";"3705";"1720";"1985";"785";"495";"985";"830";"615";"11021";"2600";"25,0";"18,4";"50,8";"12,2";"53,4";"55,7";"9,8";"15,9";"15,1";"1034";"1"
"Banne Zuidoost";"Buurt";"1";"3600";"1830";"1770";"595";"340";"1080";"945";"650";"7183";"2800";"29,9";"23,9";"41,2";"18,4";"59,3";"54,8";"14,1";"15,0";"14,7";"1034";"1"
"Banne Noordwest";"Buurt";"1";"2640";"1280";"1355";"505";"400";"735";"635";"370";"8656";"2000";".";"17,5";"53,1";"7,5";"52,1";"60,7";"6,6";"17,3";"16,9";"1034";"1"
"Banne Noordoost";"Buurt";"1";"3650";"1810";"1840";"720";"490";"955";"905";"585";"9059";"2800";"23,8";"18,3";"52,3";"9,9";"48,9";"52,9";"10,6";"15,3";"13,0";"1034";"1"
"Buiksloterbreek";"Buurt";"1";"330";"170";"160";"55";"35";"70";"115";"60";"4266";"300";".";".";"24,5";"35,3";"70,4";"21,5";"44,4";"2,9";"2,9";"1034";"1"
"Marjoleinterrein";"Buurt";"1";"370";"185";"180";"90";"60";"135";"65";"25";"11336";"300";".";".";"41,5";"18,5";"55,9";"45,2";"18,5";"12,2";"10,1";"1034";"1"
"Noordelijke IJ-oevers West";"Wijk";"1";"3590";"1895";"1695";"425";"1025";"1350";"575";"225";"1436";"2800";"39,2";"33,0";"41,0";"32,0";"62,4";"55,3";"24,0";"13,5";"9,0";".";"."
"Papaverweg e.o.";"Buurt";"1";"875";"485";"385";"190";"75";"355";"225";"35";"1538";"700";".";".";"22,8";"40,5";"83,3";"22,8";"39,0";"5,4";"4,0";"1032";"1"
"Cornelis Douwesterrein";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1033";"1"
"NDSM terrein";"Buurt";"1";"1170";"595";"575";"5";"850";"310";"5";"0";"3146";"900";".";".";"84,5";"0,9";"31,3";"97,8";"0,0";"41,5";"25,7";"1033";"1"
"Buiksloterham";"Buurt";"1";"180";"90";"85";"60";"20";"80";"20";"5";"516";"100";".";".";"31,6";"25,4";"74,4";".";".";".";".";"1031";"1"
"Overhoeks";"Buurt";"1";"1360";"715";"640";"170";"80";"605";"325";"185";"4638";"1100";".";".";"17,5";"52,7";"75,0";"18,1";"47,3";"4,4";"3,6";"1031";"1"
"Noordelijke IJ-oevers Oost";"Wijk";"1";"315";"195";"115";"20";"70";"170";"40";"20";"463";"300";".";".";"40,4";"20,0";"75,2";"62,9";"6,6";"12,7";"10,2";".";"."
"Bedrijventerrein Hamerstraat";"Buurt";"1";"280";"175";"100";"15";"70";"155";"25";"15";"882";"200";".";".";"39,6";"19,6";"77,3";"63,7";"4,7";"12,9";"10,2";"1021";"1"
"Zamenhofstraat e.o.";"Buurt";"1";"10";"5";"0";"0";"0";"10";"5";"0";"48";"0";".";".";".";".";".";".";".";".";".";"1022";"1"
"Bedrijventerrein Nieuwendammerdijk";"Buurt";"1";"20";"10";"10";"5";"0";"10";"10";"5";"240";"0";".";".";".";".";".";".";".";".";".";"1023";"1"
"Waterland";"Wijk";"1";"2275";"1155";"1120";"420";"235";"415";"775";"440";"92";"1800";".";".";"34,7";"33,4";"65,8";"22,3";"42,0";"4,8";"5,7";".";"."
"Schellingwoude West";"Buurt";"1";"65";"35";"30";"10";"15";"10";"30";"10";"459";"100";".";".";".";".";".";".";".";".";".";"1023";"1"
"Schellingwoude Oost";"Buurt";"1";"475";"230";"245";"120";"35";"85";"165";"80";"722";"400";".";".";"31,5";"42,0";"72,4";"15,6";"52,0";"0,0";"1,1";"1023";"1"
"Schellingwoude Noord";"Buurt";"1";"5";"0";"0";"0";"5";"0";"5";"5";".";"0";".";".";".";".";".";".";".";".";".";"1026";"2"
"Durgerdam";"Buurt";"1";"425";"220";"200";"85";"45";"75";"150";"80";"166";"300";".";".";"35,4";"33,8";"65,2";"17,6";"45,5";"2,5";"3,7";"1026";"1"
"Zwarte Gouw";"Buurt";"1";"20";"10";"10";"5";"10";"5";"10";"5";"15";"0";".";".";".";".";".";".";".";".";".";"1026";"2"
"Ransdorp";"Buurt";"1";"305";"150";"155";"60";"35";"45";"105";"70";"174";"200";".";".";"34,3";"33,9";"61,8";"17,6";"43,2";"4,0";"5,6";"1028";"1"
"Holysloot";"Buurt";"1";"270";"140";"125";"40";"30";"45";"105";"60";"34";"200";".";".";"37,3";"31,8";"66,7";"20,0";"45,5";"8,2";"9,1";"1028";"1"
"Zunderdorp";"Buurt";"1";"670";"345";"325";"115";"70";"145";"205";"140";"79";"500";".";".";"34,7";"28,9";"64,7";"26,8";"35,4";"6,9";"8,0";"1027";"4"
"Noorderstrook West";"Buurt";"1";"15";"5";"5";"0";"0";"10";"10";"5";"19";"0";".";".";".";".";".";".";".";".";".";"1027";"1"
"Noorderstrook Oost";"Buurt";"1";"5";"5";"0";"0";"0";"5";"0";"5";".";"0";".";".";".";".";".";".";".";".";".";"1027";"1"
"Elzenhagen";"Wijk";"1";"2735";"1370";"1360";"675";"250";"915";"675";"225";"3350";"1900";".";"29,7";"28,4";"34,4";"73,9";"27,5";"38,8";"9,0";"7,4";".";"."
"Nintemanterrein";"Buurt";"1";"110";"65";"45";"25";"10";"15";"35";"25";"2821";"100";".";".";".";".";".";".";".";".";".";"1025";"1"
"Elzenhagen Zuid";"Buurt";"1";"255";"140";"115";"20";"15";"130";"75";"20";"857";"200";".";".";"36,1";"24,7";"62,8";"53,7";"15,4";"30,6";"21,7";"1022";"1"
"Elzenhagen Noord";"Buurt";"1";"2365";"1165";"1200";"630";"230";"775";"565";"175";"4957";"1600";".";".";"27,6";"35,6";"76,0";"23,6";"42,5";"5,3";"5,1";"1022";"5"
"Chassébuurt";"Wijk";"1";"6240";"3060";"3180";"980";"740";"2580";"1435";"510";"24616";"5000";"33,4";"27,0";"40,1";"23,6";"65,0";"52,0";"16,9";"15,8";"14,2";".";"."
"Kortenaerkwartier";"Buurt";"1";"2235";"1130";"1105";"325";"295";"875";"560";"190";"23283";"1800";".";".";"39,7";"24,4";"64,5";"51,2";"18,3";"15,6";"13,9";"1057";"1"
"Filips van Almondekwartier";"Buurt";"1";"1100";"560";"540";"155";"115";"535";"220";"85";"26423";"900";".";".";"32,3";"33,6";"73,4";"49,4";"20,7";"12,3";"11,8";"1057";"1"
"De Wester Quartier";"Buurt";"1";"1835";"895";"935";"295";"230";"760";"410";"145";"25941";"1400";".";".";"43,6";"19,7";"61,9";"56,2";"13,7";"18,4";"15,9";"1057";"1"
"Van Brakelkwartier";"Buurt";"1";"1060";"470";"585";"205";"105";"415";"245";"100";"23694";"800";".";".";"43,7";"17,8";"62,8";"49,1";"14,3";"15,7";"14,5";"1057";"1"
"Slotermeer-Noordoost";"Wijk";"1";"9295";"4810";"4485";"1930";"1180";"3130";"2125";"935";"9651";"6800";"24,6";"18,2";"51,2";"10,2";"54,2";"60,6";"8,1";"21,7";"18,5";".";"."
"Buurt 3";"Buurt";"1";"6055";"3120";"2930";"1275";"725";"2000";"1395";"670";"8891";"4400";"25,2";"18,7";"50,2";"11,0";"55,2";"61,0";"8,9";"21,5";"18,5";"1063";"1"
"Buurt 2";"Buurt";"1";"3240";"1685";"1550";"660";"455";"1130";"735";"270";"11487";"2400";".";"17,3";"52,9";"8,7";"52,4";"59,8";"6,5";"22,0";"18,3";"1063";"1"
"Slotermeer-Zuidwest";"Wijk";"1";"17965";"9155";"8810";"3470";"2430";"5995";"4020";"2060";"7992";"13400";"24,8";"18,8";"50,9";"11,2";"53,2";"59,9";"8,4";"19,3";"17,8";".";"."
"Slotermeer Zuid";"Buurt";"1";"3405";"1830";"1575";"545";"385";"1265";"725";"495";"8417";"2700";"23,4";"18,5";"52,8";"7,7";"51,4";"72,8";"3,7";"23,7";"22,5";"1064";"1"
"Noordoever Sloterplas";"Buurt";"1";"3195";"1580";"1615";"505";"445";"1070";"830";"350";"9222";"2500";"31,8";"25,4";"38,2";"20,6";"63,3";"49,0";"15,2";"11,6";"11,8";"1064";"1"
"Buurt 4 Oost";"Buurt";"1";"3705";"1875";"1825";"705";"505";"1190";"830";"480";"10825";"2800";"25,6";"19,6";"47,7";"12,6";"55,8";"52,3";"10,0";"15,6";"14,1";"1063";"1"
"Buurt 5 Noord";"Buurt";"1";"3775";"1915";"1860";"880";"560";"1195";"840";"310";"16816";"2700";"20,6";"14,7";"60,1";"5,8";"46,9";"61,8";"6,3";"24,3";"20,9";"1064";"1"
"Sloterpark";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1064";"3"
"Buurt 5 Zuid";"Buurt";"1";"3875";"1945";"1925";"840";"540";"1275";"795";"425";"12465";"2800";"23,1";"16,7";"55,3";"9,9";"49,4";"61,6";"7,2";"21,0";"19,2";"1064";"1"
"Geuzenveld";"Wijk";"1";"15700";"7910";"7790";"3430";"2195";"5145";"3305";"1635";"11892";"11200";"25,2";"18,4";"49,4";"11,7";"55,8";"54,4";"11,0";"17,4";"15,4";".";"."
"Buurt 6";"Buurt";"1";"3015";"1505";"1505";"650";"465";"910";"685";"315";"11469";"2200";".";"16,1";"54,6";"6,6";"50,4";"60,7";"7,1";"21,5";"19,0";"1067";"1"
"Buurt 7";"Buurt";"1";"2590";"1315";"1275";"640";"340";"775";"505";"340";"9129";"1800";".";"19,5";"44,4";"15,4";"60,9";"46,3";"17,6";"10,1";"10,0";"1067";"1"
"Buurt 8";"Buurt";"1";"3850";"1910";"1940";"830";"545";"1435";"710";"340";"15415";"2700";"26,6";"19,6";"47,5";"13,7";"61,2";"51,0";"10,0";"15,2";"14,1";"1067";"1"
"Buurt 9";"Buurt";"1";"5940";"2995";"2940";"1275";"815";"1910";"1315";"630";"14803";"4300";"24,9";"18,2";"50,2";"11,4";"52,9";"56,3";"11,0";"18,6";"15,8";"1067";"1"
"Eendrachtspark";"Buurt";"1";"300";"175";"125";"40";"40";"120";"95";"15";"2475";"200";".";".";"45,3";"14,8";"59,5";"60,6";"9,4";"30,9";"27,0";"1067";"1"
"Eendracht";"Wijk";"1";"2440";"1210";"1230";"405";"280";"640";"750";"375";"1118";"1900";".";".";"37,8";"17,9";"60,7";"36,4";"20,5";"7,6";"6,3";".";"."
"Osdorper Binnenpolder";"Buurt";"1";"25";"15";"10";"5";"5";"5";"15";"10";"15";"0";".";".";".";".";".";".";".";".";".";"1067";"1"
"Buurt 10";"Buurt";"1";"2415";"1190";"1220";"405";"275";"635";"740";"365";"7824";"1900";".";".";"37,6";"17,9";"60,5";"36,4";"20,4";"7,6";"6,2";"1067";"1"
"Lutkemeer/Ookmeer";"Wijk";"1";"865";"445";"420";"125";"110";"185";"300";"155";"163";"700";".";".";"43,5";"23,2";"58,2";"38,1";"28,6";"11,4";"9,5";".";"."
"Ookmeer";"Buurt";"1";"10";"5";"0";"0";"5";"5";"5";"0";"14";"0";".";".";".";".";".";".";".";".";".";"1067";"1"
"Osdorper Bovenpolder";"Buurt";"1";"795";"400";"395";"115";"90";"170";"280";"145";"324";"600";".";".";"43,6";"23,6";"58,7";"36,1";"30,0";"10,6";"8,7";"1067";"1"
"Bedrijvenpark Lutkemeer";"Buurt";"1";"60";"35";"25";"10";"15";"15";"15";"10";"29";"100";".";".";".";".";".";".";".";".";".";"1060";"5"
"Osdorp-Oost";"Wijk";"1";"16300";"7985";"8315";"2555";"2045";"4775";"3780";"3150";"10344";"12800";"27,4";"21,9";"46,6";"14,4";"54,1";"58,7";"9,8";"15,0";"14,7";".";"."
"Wildeman";"Buurt";"1";"5005";"2445";"2560";"920";"560";"1400";"1100";"1035";"15869";"3900";"21,1";"16,3";"56,7";"5,2";"45,9";"72,2";"3,7";"21,8";"21,2";"1068";"1"
"Meer en Oever";"Buurt";"1";"3135";"1590";"1540";"475";"310";"1025";"775";"555";"15073";"2400";".";"28,7";"34,6";"25,9";"61,9";"42,5";"17,2";"10,1";"10,5";"1068";"1"
"Osdorpplein e.o.";"Buurt";"1";"2965";"1445";"1520";"520";"400";"1015";"610";"425";"9862";"2300";".";"22,0";"43,8";"17,3";"58,4";"49,5";"12,0";"12,6";"12,6";"1068";"1"
"Calandlaan/Lelylaan";"Buurt";"1";"1245";"640";"605";"165";"120";"310";"410";"250";"4723";"1000";".";".";"44,4";"13,1";"52,3";"61,4";"8,5";"15,8";"15,0";"1068";"1"
"Osdorp Zuidoost";"Buurt";"1";"3940";"1855";"2080";"480";"655";"1035";"890";"885";"8090";"3200";"27,8";"23,3";"46,4";"15,0";"55,1";"60,0";"10,4";"11,6";"11,0";"1068";"1"
"Osdorp-Midden";"Wijk";"1";"16050";"7835";"8215";"3450";"2180";"5425";"3220";"1785";"15549";"11400";"27,2";"20,0";"47,2";"15,0";"57,3";"53,4";"12,1";"16,4";"15,6";".";"."
"Osdorp Midden Noord";"Buurt";"1";"3190";"1480";"1710";"655";"505";"885";"615";"540";"15139";"2200";".";"15,5";"57,2";"5,9";"47,3";"66,1";"7,3";"23,6";"20,8";"1069";"1"
"Osdorp Midden Zuid";"Buurt";"1";"3435";"1670";"1760";"880";"360";"1175";"615";"405";"14412";"2400";".";"18,6";"50,0";"14,1";"54,3";"57,5";"9,5";"20,5";"19,7";"1069";"1"
"Zuidwestkwadrant Osdorp Noord";"Buurt";"1";"3190";"1560";"1625";"635";"480";"1050";"600";"430";"13789";"2300";".";"18,6";"50,9";"11,7";"54,1";"55,9";"8,8";"15,0";"15,7";"1069";"1"
"Zuidwestkwadrant Osdorp Zuid";"Buurt";"1";"6230";"3115";"3110";"1280";"835";"2315";"1390";"410";"17723";"4600";"31,7";"23,6";"39,0";"21,6";"64,9";"43,8";"17,6";"11,4";"10,7";"1069";"1"
"De Punt";"Wijk";"1";"6070";"3145";"2925";"1100";"870";"1995";"1310";"800";"10150";"4500";"25,7";"19,9";"46,2";"11,8";"57,2";"55,3";"9,6";"16,1";"15,8";".";"."
"De Punt";"Buurt";"1";"5955";"3040";"2915";"1100";"870";"1955";"1245";"790";"12408";"4300";"26,0";"20,1";"44,9";"12,1";"58,6";"53,5";"9,9";"13,3";"13,1";"1069";"1"
"Bedrijvencentrum Osdorp";"Buurt";"1";"110";"100";"10";"5";"0";"40";"65";"10";"966";"100";".";".";"97,2";"0,0";"4,5";"100,0";"0,0";".";".";"1069";"1"
"Middelveldsche Akerpolder";"Wijk";"1";"14525";"7170";"7355";"2585";"2125";"3380";"4705";"1735";"9630";"11200";"35,0";"27,3";"38,0";"24,7";"62,0";"33,6";"29,3";"7,0";"6,5";".";"."
"Middelveldsche Akerpolder";"Buurt";"1";"3895";"1880";"2015";"750";"420";"1030";"1055";"645";"11594";"2900";"29,9";"23,0";"39,5";"17,2";"59,3";"45,5";"17,2";"9,6";"8,7";"1069";"1"
"De Aker West";"Buurt";"1";"4580";"2285";"2295";"715";"720";"1030";"1610";"515";"8837";"3600";"36,4";"29,2";"36,0";"26,7";"63,5";"30,1";"32,5";"5,9";"6,5";"1060";"1"
"De Aker Oost";"Buurt";"1";"6050";"3000";"3045";"1120";"990";"1325";"2040";"580";"9249";"4600";"37,2";"28,7";"38,6";"27,9";"62,5";"27,6";"35,8";"5,8";"4,8";"1060";"1"
"Slotervaart Noord";"Wijk";"1";"7995";"3990";"4005";"1485";"1025";"2265";"1985";"1240";"7203";"5900";"29,8";"22,7";"43,7";"18,0";"57,6";"52,4";"15,8";"14,7";"13,6";".";"."
"Oostoever Sloterplas";"Buurt";"1";"2475";"1210";"1265";"360";"290";"515";"800";"515";"6902";"2000";".";".";"34,3";"28,8";"63,4";"37,3";"29,4";"4,6";"6,7";"1064";"1"
"Emanuel van Meterenbuurt";"Buurt";"1";"2235";"1080";"1155";"430";"240";"620";"515";"440";"5065";"1600";".";".";"39,2";"20,1";"59,7";"50,7";"16,9";"14,5";"12,6";"1065";"1"
"Jacob Geelbuurt";"Buurt";"1";"3275";"1695";"1580";"700";"495";"1130";"670";"285";"10612";"2300";".";"16,2";"54,6";"7,5";"51,9";"65,0";"4,8";"23,0";"19,8";"1065";"1"
"Overtoomse Veld";"Wijk";"1";"13355";"6520";"6835";"2015";"2760";"5335";"2190";"1065";"9184";"9900";"29,1";"23,1";"43,5";"17,7";"62,0";"54,5";"11,9";"12,3";"11,5";".";"."
"Overtoomse Veld Noord";"Buurt";"1";"5940";"2930";"3010";"1190";"970";"2095";"1230";"460";"17666";"4400";"26,6";"19,9";"51,2";"15,6";"54,1";"48,3";"14,6";"16,5";"15,5";"1061";"1"
"Overtoomse Veld Zuid";"Buurt";"1";"3970";"1910";"2055";"550";"640";"1880";"590";"315";"13240";"3200";"30,6";"25,1";"34,5";"16,5";"70,5";"57,6";"9,4";"8,9";"8,4";"1062";"1"
"Rembrandtpark Noord";"Buurt";"1";"955";"460";"490";"50";"345";"405";"85";"80";"3430";"800";".";".";"41,2";"23,2";"62,1";"65,8";"8,9";"8,0";"6,4";"1057";"1"
"Rembrandtpark Zuid";"Buurt";"1";"830";"425";"405";"65";"100";"480";"105";"90";"3050";"700";".";".";"25,2";"36,8";"81,1";"44,2";"20,4";"4,3";"3,2";"1058";"1"
"Johan Jongkindbuurt";"Buurt";"1";"765";"355";"410";"160";"140";"170";"175";"125";"8924";"500";".";".";"64,5";"3,2";"39,9";"65,3";"6,7";"26,3";"27,5";"1062";"1"
"Lucas/Andreasziekenhuis e.o.";"Buurt";"1";"885";"430";"455";"0";"575";"305";"10";"0";"4929";"300";".";".";"43,1";"24,2";"79,1";"65,8";"3,6";"5,6";"3,7";"1061";"1"
"Westlandgracht";"Wijk";"1";"10045";"5315";"4730";"1270";"2130";"4350";"1570";"735";"7111";"7800";"35,6";"29,7";"40,4";"26,2";"64,9";"58,7";"14,2";"14,7";"12,3";".";"."
"Koningin Wilhelminaplein";"Buurt";"1";"2285";"1300";"985";"240";"200";"1270";"405";"175";"9319";"1900";".";".";"19,4";"47,9";"80,5";"30,4";"26,2";"3,5";"2,9";"1062";"1"
"Andreasterrein";"Buurt";"1";"1305";"635";"670";"310";"120";"475";"290";"120";"9058";"900";".";".";"29,8";"45,2";"68,2";"32,3";"40,8";"7,5";"7,7";"1058";"1"
"Delflandpleinbuurt Oost";"Buurt";"1";"1520";"855";"665";"215";"280";"565";"340";"125";"8879";"1000";".";".";"50,7";"14,7";"57,9";"68,0";"7,6";"18,3";"14,5";"1059";"1"
"Delflandpleinbuurt West";"Buurt";"1";"3420";"1735";"1685";"505";"660";"1415";"535";"315";"10607";"2700";"29,6";"24,3";"43,1";"18,2";"63,4";"62,8";"9,5";"15,8";"15,4";"1062";"1"
"Riekerhaven";"Buurt";"1";"565";"370";"195";"5";"360";"205";"0";"0";"1366";"600";".";".";"79,3";"0,4";"34,9";"97,9";"0,0";"55,1";"37,2";"1062";"1"
"Schipluidenbuurt";"Buurt";"1";"940";"410";"525";"0";"510";"425";"5";"0";"8340";"800";".";".";"54,5";"10,5";"57,8";"83,7";"0,3";"10,2";"7,0";"1062";"1"
"Sloter-/Riekerpolder";"Wijk";"1";"14005";"6915";"7090";"2005";"1820";"3350";"4745";"2085";"3000";"11200";"36,8";"29,9";"33,6";"27,3";"64,3";"30,9";"29,0";"5,9";"5,2";".";"."
"Riekerpolder";"Buurt";"1";"70";"40";"30";"10";"0";"50";"10";"0";"119";"0";".";".";".";".";".";".";".";".";".";"1066";"1"
"Park Haagseweg";"Buurt";"1";"935";"475";"455";"125";"100";"205";"340";"175";"8251";"800";".";".";"24,5";"40,5";"64,9";"16,2";"41,7";"2,7";"2,0";"1066";"1"
"Nieuwe Meer";"Buurt";"1";"165";"95";"65";"20";"20";"35";"80";"10";"127";"100";".";".";"60,3";"13,5";"66,9";".";".";".";".";"1066";"1"
"Sloterweg e.o.";"Buurt";"1";"255";"110";"140";"45";"40";"45";"80";"50";"324";"200";".";".";"35,6";"30,9";"60,0";"20,6";"46,1";".";".";"1066";"1"
"Nieuw Sloten Noordwest";"Buurt";"1";"3135";"1520";"1615";"480";"425";"740";"1080";"415";"9078";"2500";".";"27,2";"36,7";"24,4";"62,6";"31,6";"30,4";"6,4";"6,1";"1066";"1"
"Nieuw Sloten Noordoost";"Buurt";"1";"3155";"1550";"1600";"410";"385";"750";"1005";"610";"7197";"2600";"34,1";"28,3";"33,4";"23,6";"63,5";"34,8";"24,7";"5,7";"5,2";"1066";"1"
"Belgiëplein e.o.";"Buurt";"1";"1060";"495";"560";"80";"80";"295";"300";"305";"12775";"900";".";".";"36,4";"23,1";"63,7";"48,5";"13,8";"8,3";"8,9";"1066";"1"
"Nieuw Sloten Zuidwest";"Buurt";"1";"2365";"1160";"1200";"350";"395";"470";"965";"190";"10971";"1900";".";".";"29,9";"33,7";"65,6";"15,3";"45,1";"2,1";"1,4";"1066";"1"
"Nieuw Sloten Zuidoost";"Buurt";"1";"2140";"1080";"1060";"385";"290";"655";"605";"215";"9411";"1600";".";".";"33,6";"26,5";"67,4";"29,9";"22,4";"6,6";"4,4";"1066";"1"
"Dorp Sloten";"Buurt";"1";"715";"365";"345";"100";"95";"110";"290";"130";"1320";"600";".";".";"36,2";"28,0";"60,6";"32,9";"31,7";"6,1";"5,8";"1066";"1"
"Slotervaart Zuid";"Wijk";"1";"10550";"5060";"5485";"1675";"1995";"3350";"1970";"1565";"8444";"7900";"26,6";"21,0";"49,0";"13,7";"54,1";"62,8";"9,1";"15,5";"13,8";".";"."
"Louis Crispijnbuurt";"Buurt";"1";"3240";"1525";"1710";"495";"455";"870";"725";"705";"9040";"2500";".";"20,6";"47,0";"10,8";"52,2";"61,7";"7,3";"12,7";"12,5";"1065";"1"
"Jacques Veldmanbuurt";"Buurt";"1";"3595";"1715";"1880";"560";"635";"1315";"615";"475";"12195";"2700";"29,5";"23,5";"43,4";"18,3";"60,2";"57,9";"9,9";"12,4";"12,1";"1065";"1"
"Staalmanbuurt";"Buurt";"1";"2865";"1380";"1480";"575";"470";"915";"580";"335";"9382";"2100";".";"20,5";"50,2";"15,0";"53,8";"55,3";"14,8";"17,5";"15,4";"1066";"1"
"Medisch Centrum Slotervaart";"Buurt";"1";"845";"435";"410";"50";"435";"255";"55";"55";"2910";"700";".";".";"74,4";"2,0";"39,5";"92,5";"0,5";"36,7";"22,9";"1066";"1"
"Buitenveldert-West";"Wijk";"1";"13365";"6245";"7120";"1640";"1380";"4360";"2845";"3150";"4695";"10700";"43,8";"36,1";"32,8";"30,2";"63,9";"46,8";"20,1";"8,0";"8,7";".";"."
"Gelderlandpleinbuurt";"Buurt";"1";"4555";"2090";"2460";"460";"485";"1630";"860";"1125";"10001";"3700";"43,7";"36,9";"32,5";"29,0";"63,9";"46,3";"18,6";"8,2";"8,9";"1082";"1"
"Buitenveldert Midden Zuid";"Buurt";"1";"3710";"1770";"1940";"520";"445";"1435";"765";"550";"7382";"2900";"39,5";"31,9";"32,2";"29,2";"67,7";"44,4";"17,1";"7,3";"7,6";"1082";"1"
"Buitenveldert Zuidwest";"Buurt";"1";"4020";"1875";"2145";"540";"325";"1075";"935";"1150";"5759";"3200";"44,7";"36,4";"33,7";"31,1";"61,8";"51,6";"21,4";"8,7";"10,1";"1081";"1"
"Amsterdamse Bos";"Buurt";"1";"70";"35";"35";"5";"10";"15";"35";"15";"96";"100";".";".";".";".";".";".";".";".";".";"1081";"1"
"Buitenveldert West Midden";"Buurt";"1";"995";"465";"525";"115";"120";"200";"250";"315";"4103";"800";".";".";"33,3";"36,4";"56,3";"38,9";"33,5";"6,6";"6,2";"1081";"1"
"Zuiderhof";"Buurt";"1";"10";"5";"5";"0";"0";"5";"5";"0";"58";"0";".";".";".";".";".";".";".";".";".";"1081";"1"
